Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6
1710025200.0 250206.17 NA 494 557 0 NA NA NA 707 747 0 NA NA NA 6748 2153 421 NA NA NA 2562 1777 483 NA NA
1710025200.0 250399.0 295 NA NA NA NA NA 422 NA NA NA NA NA 624 NA NA NA NA NA 711 NA NA NA NA NA
1710025200.0 250400.0 447 0 157 NA NA NA 611 0 295 NA NA NA 866 203 561 NA NA NA 1134 260 1098 NA NA NA
1710025200.0 250400.17 522 0 160 NA NA NA 693 0 294 NA NA NA 999 237 571 NA NA NA 1164 364 1087 NA NA NA
1710025200.0 250400.18 527 0 193 NA NA NA 694 0 294 NA NA NA 1026 226 553 NA NA NA 1290 285 770 NA NA NA
1710025200.0 250402.0 453 0 194 NA NA NA 615 0 286 NA NA NA 972 229 568 NA NA NA 1403 512 676 NA NA NA
1710025200.0 250402.17 525 0 198 NA NA NA 705 0 303 NA NA NA 1077 251 586 NA NA NA 1450 443 838 NA NA NA
1710025200.0 250402.18 534 0 196 NA NA NA 716 0 292 NA NA NA 1056 246 571 NA NA NA 1031 305 767 NA NA NA
1710025200.0 250402.181 356 528 0 NA NA NA 485 710 0 NA NA NA 914 1107 243 NA NA NA 857 1044 371 NA NA NA
1710025200.0 250403.0 407 0 194 NA NA NA 620 0 302 NA NA NA 880 210 553 NA NA NA 1393 437 730 NA NA NA
1710025200.0 250403.17 522 0 197 NA NA NA 694 0 296 NA NA NA 1011 242 572 NA NA NA 1169 484 765 NA NA NA
1710025200.0 250403.18 528 0 193 NA NA NA 673 0 289 NA NA NA 1012 234 565 NA NA NA 982 313 757 NA NA NA
1710025200.0 250405.0 452 0 190 NA NA NA 630 0 287 NA NA NA 863 208 543 NA NA NA 1263 320 773 NA NA NA
1710025200.0 250406.18 525 0 168 NA NA NA 707 0 299 NA NA NA 883 236 547 NA NA NA 1097 577 1156 NA NA NA
1710025200.0 250407.18 438 0 151 NA NA NA 624 0 296 NA NA NA 920 218 548 NA NA NA 1145 332 943 NA NA NA
1710025200.0 250408.17 528 0 199 NA NA NA 696 0 294 NA NA NA 1079 246 578 NA NA NA 1098 462 795 NA NA NA
1710025200.0 250408.18 526 0 201 NA NA NA 702 0 286 NA NA NA 1046 237 569 NA NA NA 928 309 808 NA NA NA
1710025200.0 250409.18 539 0 203 NA NA NA 720 0 293 NA NA NA 1326 251 666 NA NA NA 1920 350 704 NA NA NA
1710025200.0 25234.911 185 610 562 0 200 NA 300 782 750 0 312 NA 8099 4942 5250 1405 561 NA 4391 3013 3249 1523 753 NA
1710025200.0 25406.0 543 0 191 NA NA NA 734 0 303 NA NA NA 1338 214 533 NA NA NA 1060 322 689 NA NA NA
1710025200.0 25634.0 169 529 536 0 198 NA 274 691 738 0 317 NA 4321 1708 2569 499 526 NA 2390 1316 2860 852 744 NA
1710025200.0 4.17 NA 92 365 0 214 NA NA 174 528 0 342 NA NA 140 2383 291 881 NA NA 226 2446 560 914 NA
1710025200.0 4.29 NA 96 368 0 251 NA NA 181 525 0 349 NA NA 137 2597 294 910 NA NA 208 2328 479 952 NA
1710025200.0 4001.0 NA 248 443 NA NA NA NA 382 596 NA NA NA NA 630 1915 NA NA NA NA 850 2418 NA NA NA
1710025200.0 4007.0 119 0 0 NA NA NA 224 0 0 NA NA NA 541 117 1161 NA NA NA 650 441 1830 NA NA NA
1710025200.0 4008.0 132 187 340 NA NA NA 241 278 541 NA NA NA 730 256 1335 NA NA NA 1117 830 1596 NA NA NA
1710025200.0 500199.0 245 NA NA NA NA NA 434 NA NA NA NA NA 1137 NA NA NA NA NA 1027 NA NA NA NA NA
1710025200.0 508.0 90 0 NA NA NA NA 165 0 NA NA NA NA 223 136 NA NA NA NA 292 230 NA NA NA NA
1710025200.0 511.0 97 0 NA NA NA NA 174 0 NA NA NA NA 6547 144 NA NA NA NA 8059 264 NA NA NA NA
1710025200.0 526.0 29 90 0 NA NA NA 104 168 0 NA NA NA 5030 182 128 NA NA NA 20392 285 217 NA NA NA
1710025200.0 534.0 196 0 NA NA NA NA 331 0 NA NA NA NA 1250 136 NA NA NA NA 1732 223 NA NA NA NA
1710025200.0 537.0 63 0 NA NA NA NA 195 0 NA NA NA NA 3525 147 NA NA NA NA 6169 343 NA NA NA NA
