Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8
1710025200.0 134.909 NA 58 259 0 NA NA NA NA NA 82 293 0 NA NA NA NA NA 137 3583 329 NA NA NA NA NA 148 3742 347 NA NA NA NA
1710025200.0 134.91 NA 58 260 0 NA NA NA NA NA 81 290 0 NA NA NA NA NA 136 3248 321 NA NA NA NA NA 151 3372 338 NA NA NA NA
1710025200.0 134.911 NA 58 261 0 NA NA NA NA NA 81 296 0 NA NA NA NA NA 136 3432 325 NA NA NA NA NA 156 3557 346 NA NA NA NA
1710025200.0 134.912 NA 55 254 0 NA NA NA NA NA 78 284 0 NA NA NA NA NA 128 2609 332 NA NA NA NA NA 138 2719 347 NA NA NA NA
1710025200.0 134.99602 NA 57 261 0 NA NA NA NA NA 81 298 0 NA NA NA NA NA 139 3246 328 NA NA NA NA NA 152 3424 346 NA NA NA NA
1710025200.0 134.99901 NA 57 262 0 NA NA NA NA NA 81 297 0 NA NA NA NA NA 135 3375 331 NA NA NA NA NA 173 4719 377 NA NA NA NA
1710025200.0 135.1 261 0 132 NA NA NA NA NA 302 0 157 NA NA NA NA NA 599 214 314 NA NA NA NA NA 697 230 383 NA NA NA NA NA
1710025200.0 135.11 263 0 134 NA NA NA NA NA 307 0 159 NA NA NA NA NA 756 222 379 NA NA NA NA NA 846 239 446 NA NA NA NA NA
1710025200.0 135.12 256 0 131 NA NA NA NA NA 297 0 162 NA NA NA NA NA 511 206 300 NA NA NA NA NA 620 216 361 NA NA NA NA NA
1710025200.0 135.2 242 0 130 NA NA NA NA NA 279 0 153 NA NA NA NA NA 362 191 257 NA NA NA NA NA 459 207 327 NA NA NA NA NA
1710025200.0 135.3 243 0 130 NA NA NA NA NA 279 0 152 NA NA NA NA NA 367 186 256 NA NA NA NA NA 458 200 352 NA NA NA NA NA
1710025200.0 135.4 257 0 132 NA NA NA NA NA 299 0 156 NA NA NA NA NA 523 210 297 NA NA NA NA NA 638 223 349 NA NA NA NA NA
1710025200.0 135.5 254 0 131 NA NA NA NA NA 296 0 158 NA NA NA NA NA 478 205 264 NA NA NA NA NA 586 224 338 NA NA NA NA NA
1710025200.0 135.6 257 0 132 NA NA NA NA NA 298 0 157 NA NA NA NA NA 535 210 292 NA NA NA NA NA 638 232 354 NA NA NA NA NA
1710025200.0 135.7 257 0 132 NA NA NA NA NA 298 0 156 NA NA NA NA NA 464 203 290 NA NA NA NA NA 582 215 343 NA NA NA NA NA
1710025200.0 135.9 257 0 132 NA NA NA NA NA 299 0 156 NA NA NA NA NA 453 210 288 NA NA NA NA NA 553 226 347 NA NA NA NA NA
1710025200.0 1356.0 86 195 295 0 119 NA NA NA 107 218 327 0 161 NA NA NA 3298 417 1074 1074 281 NA NA NA 4290 1167 1834 1300 1646 NA NA NA
1710025200.0 136.721 NA 187 281 0 NA NA NA NA NA 231 328 0 NA NA NA NA NA 2268 5424 615 NA NA NA NA NA 3265 6927 731 NA NA NA NA
1710025200.0 136.722 NA 187 297 0 NA NA NA NA NA 233 346 0 NA NA NA NA NA 2875 6038 667 NA NA NA NA NA 6255 8355 978 NA NA NA NA
1710025200.0 136.723 NA 188 280 0 NA NA NA NA NA 234 334 0 NA NA NA NA NA 2712 5954 666 NA NA NA NA NA 6212 8230 850 NA NA NA NA
1710025200.0 136.724 NA 191 288 0 NA NA NA NA NA 236 355 0 NA NA NA NA NA 3799 6917 622 NA NA NA NA NA 7394 12974 826 NA NA NA NA
1710025200.0 136.725 NA 189 296 0 NA NA NA NA NA 234 355 0 NA NA NA NA NA 2670 5975 652 NA NA NA NA NA 6075 8176 842 NA NA NA NA
1710025200.0 136.726 NA 193 282 0 NA NA NA NA NA 230 332 0 NA NA NA NA NA 2957 6288 647 NA NA NA NA NA 6260 8464 854 NA NA NA NA
1710025200.0 136.727 NA 215 291 0 NA NA NA NA NA 284 338 0 NA NA NA NA NA 2833 5880 672 NA NA NA NA NA 6260 8261 868 NA NA NA NA
1710025200.0 136.728 NA 218 291 0 NA NA NA NA NA 281 340 0 NA NA NA NA NA 3070 6375 678 NA NA NA NA NA 6364 8554 1024 NA NA NA NA
1710025200.0 136.729 NA 187 277 0 NA NA NA NA NA 226 330 0 NA NA NA NA NA 2546 6133 660 NA NA NA NA NA 5723 8528 1012 NA NA NA NA
1710025200.0 136.73 NA 194 300 0 NA NA NA NA NA 226 355 0 NA NA NA NA NA 2692 6112 671 NA NA NA NA NA 5826 8087 902 NA NA NA NA
1710025200.0 136.731 NA 195 308 0 NA NA NA NA NA 236 360 0 NA NA NA NA NA 2845 6244 600 NA NA NA NA NA 6122 8565 1210 NA NA NA NA
1710025200.0 136.732 NA 173 268 0 NA NA NA NA NA 222 317 0 NA NA NA NA NA 1460 4259 604 NA NA NA NA NA 2343 5574 757 NA NA NA NA
1710025200.0 136.7321 NA 186 298 0 NA NA NA NA NA 225 338 0 NA NA NA NA NA 1478 4372 606 NA NA NA NA NA 2626 5626 834 NA NA NA NA
1710025200.0 136.734 NA 192 281 0 NA NA NA NA NA 229 338 0 NA NA NA NA NA 2753 6090 667 NA NA NA NA NA 5932 8515 915 NA NA NA NA
1710025200.0 136.735 NA 180 256 0 NA NA NA NA NA 207 279 0 NA NA NA NA NA 670 1379 522 NA NA NA NA NA 840 1532 539 NA NA NA NA
