Timestamp WorkflowId PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobTime2 TotalJobTime3 TotalJobTime4
1709503200.0 11634.508 267 119 NA 822 789 NA 407 183 NA 340 689 NA
1709503200.0 11634.512 269 144 0 829 706 0 427 352 182 762 503 303
1709503200.0 11634.513 266 139 0 829 712 0 426 360 179 717 533 297
1709503200.0 11634.514 265 102 NA 832 661 NA 434 174 NA 760 329 NA
1709503200.0 11634.522 266 140 0 820 681 0 434 354 168 742 808 241
1709503200.0 11634.523 261 133 0 837 676 0 439 356 187 536 532 317
1709503200.0 11634.524 265 104 NA 825 633 NA 442 172 NA 723 293 NA
1709503200.0 11634.582 263 211 0 829 905 0 429 518 241 525 1087 737
1709503200.0 11634.583 259 225 0 829 919 0 428 527 240 765 1145 768
1709503200.0 11634.586 266 215 0 833 902 0 441 513 251 508 1062 380
1709503200.0 11634.587 256 218 0 829 928 0 428 519 233 534 681 301
1709503200.0 11634.592 261 523 0 821 1257 0 444 1780 443 462 2186 703
1709503200.0 11634.593 260 533 0 826 1258 0 428 1786 441 651 2278 638
1709503200.0 11634.596 269 523 0 825 1278 0 425 1793 432 439 2558 934
1709503200.0 11634.597 265 531 0 832 1285 0 423 1782 441 668 2153 642
1709503200.0 11650.502 261 167 0 826 842 0 413 411 196 798 606 265
1709503200.0 11650.503 262 174 0 827 863 0 417 417 204 715 627 649
1709503200.0 11650.504 258 119 NA 828 798 NA 415 192 NA 731 311 NA
1709503200.0 11650.506 260 162 0 825 843 0 428 408 227 752 582 358
1709503200.0 11650.507 260 153 0 821 856 0 417 419 224 454 616 337
1709503200.0 11650.508 264 119 NA 821 791 NA 417 179 NA 446 281 NA
1709503200.0 12434.502 440 192 0 1201 858 0 2289 455 220 1325 948 339
1709503200.0 12434.503 412 193 0 1195 888 0 2208 432 226 1098 481 350
1709503200.0 12434.504 442 151 NA 1195 819 NA 2201 266 NA 1100 382 NA
1709503200.0 12434.506 439 192 0 1204 869 0 2220 456 196 1173 1064 246
1709503200.0 12434.507 446 194 0 1184 892 0 2229 438 236 1237 496 375
1709503200.0 12434.508 443 148 NA 1219 824 NA 2204 238 NA 1058 287 NA
1709503200.0 12434.512 441 166 0 1182 746 0 2211 431 180 1102 920 299
1709503200.0 12434.513 438 170 0 1185 750 0 2236 434 184 1192 884 306
1709503200.0 12434.514 436 137 NA 1179 694 NA 2221 237 NA 1188 314 NA
1709503200.0 12434.522 438 121 0 1188 715 0 2209 415 187 1151 767 302
1709503200.0 12434.523 442 167 0 1208 719 0 2218 429 167 1174 506 250
1709503200.0 12434.524 440 135 NA 1215 663 NA 2202 224 NA 1066 270 NA
1709503200.0 12434.582 441 234 0 1216 927 0 2220 548 248 1127 613 367
1709503200.0 12434.583 446 246 0 1209 938 0 2198 579 255 1062 1038 384
1709503200.0 12434.586 438 233 0 1195 930 0 2304 598 240 1498 1136 720
1709503200.0 12434.587 436 247 0 1191 952 0 2306 608 249 1387 1059 762
1709503200.0 12434.592 426 576 0 1200 1370 0 2237 2098 523 1206 2507 730
1709503200.0 12434.593 429 587 0 1191 1324 0 2257 2088 523 1571 2380 967
1709503200.0 12434.596 439 580 0 1204 1339 0 2236 1999 483 1156 2382 544
1709503200.0 12434.597 428 588 0 1177 1380 0 2266 2135 515 1490 3123 1014
1709503200.0 12450.502 423 181 0 1160 859 0 2173 437 217 1117 881 337
1709503200.0 12450.503 425 199 0 1171 880 0 2263 483 209 1335 1093 453
1709503200.0 12450.504 419 151 NA 1180 826 NA 2204 258 NA 1143 385 NA
1709503200.0 12450.506 420 190 0 1199 867 0 2168 435 208 1050 607 325
1709503200.0 12450.507 426 199 0 1153 875 0 2165 448 212 1069 973 665
1709503200.0 12450.508 428 152 NA 1203 821 NA 2170 266 NA 1048 385 NA
1709503200.0 136.885502 167 156 0 242 818 0 451 599 165 1293 1425 505
1709503200.0 136.885512 167 133 0 250 704 0 443 399 182 592 704 298
1709503200.0 136.885522 167 125 0 245 672 0 447 419 162 678 587 246
1709503200.0 136.888502 169 154 0 240 820 0 469 582 174 742 1499 303
1709503200.0 136.888512 168 137 0 241 702 0 473 410 161 1416 585 263
1709503200.0 136.888522 172 135 0 244 672 0 470 414 160 703 532 291
1709503200.0 140.065506 395 188 0 1166 877 0 2840 687 156 1219 892 225
1709503200.0 140.065512 396 171 0 1172 731 0 2825 458 186 1247 686 312
1709503200.0 140.065522 397 168 0 1180 720 0 2845 552 172 1242 633 284
