Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7
1710108000.0 138.5 NA 431 206 0 NA NA NA NA 623 300 0 NA NA NA NA 1494 342 353 NA NA NA NA 1544 450 550 NA NA NA
1710108000.0 139.003 NA 189 356 0 NA NA NA NA 257 520 0 NA NA NA NA 279 1758 169 NA NA NA NA 380 1944 273 NA NA NA
1710108000.0 140.001 NA 186 443 0 NA NA NA NA 256 609 0 NA NA NA NA 278 1967 314 NA NA NA NA 327 2206 509 NA NA NA
1710108000.0 140.113 NA 0 0 0 NA NA NA NA 0 0 0 NA NA NA NA 150 1552 868 NA NA NA NA 298 1603 997 NA NA NA
1710108000.0 140.202 NA 260 NA NA NA NA NA NA 362 NA NA NA NA NA NA 1797 NA NA NA NA NA NA 1457 NA NA NA NA NA
1710108000.0 140.57 NA 511 0 NA NA NA NA NA 757 0 NA NA NA NA NA 2055 323 NA NA NA NA NA 1380 501 NA NA NA NA
1710108000.0 141.009 NA 0 0 0 NA NA NA NA 0 0 0 NA NA NA NA 882 3881 944 NA NA NA NA 1614 4401 1067 NA NA NA
1710108000.0 141.105 NA 383 659 0 NA NA NA NA 512 851 0 NA NA NA NA 1457 5722 374 NA NA NA NA 949 3886 487 NA NA NA
1710108000.0 141.113 NA 0 0 0 NA NA NA NA 0 0 0 NA NA NA NA 721 1145 538 NA NA NA NA 858 1387 664 NA NA NA
1710108000.0 144.6 NA 349 NA NA NA NA NA NA 503 NA NA NA NA NA NA 2417 NA NA NA NA NA NA 2130 NA NA NA NA NA
1710108000.0 158.0 138 218 433 112 0 NA NA 217 300 653 170 0 NA NA 1711 282 1378 217 555 NA NA 2083 542 1515 441 736 NA NA
1710108000.0 158.1 NA 267 483 0 NA NA NA NA 356 661 0 NA NA NA NA 375 1461 548 NA NA NA NA 374 1892 608 NA NA NA
1710108000.0 158.2 NA 248 482 0 NA NA NA NA 349 695 0 NA NA NA NA 381 1368 590 NA NA NA NA 634 1675 668 NA NA NA
1710108000.0 158.5 124 205 436 113 0 NA NA 202 274 626 169 0 NA NA 775 238 1287 204 552 NA NA 976 347 1506 281 694 NA NA
1710108000.0 159.0 149 218 445 112 0 NA NA 224 290 644 171 0 NA NA 1828 263 1157 201 520 NA NA 1976 297 1478 267 616 NA NA
1710108000.0 159.03 135 204 107 269 189 NA NA 212 280 149 418 251 NA NA 1113 231 129 470 394 NA NA 1529 357 413 756 523 NA NA
1710108000.0 160.02 104 230 111 447 112 0 NA 218 310 144 656 168 0 NA 1363 288 133 1075 216 545 NA 1344 504 401 1210 498 606 NA
1710108000.0 160.3 148 284 474 0 NA NA NA 220 361 663 0 NA NA NA 1303 509 1194 704 NA NA NA 1120 376 1280 790 NA NA NA
1710108000.0 2017.1 486 0 190 157 NA NA NA 612 0 268 233 NA NA NA 886 463 568 358 NA NA NA 1224 655 792 539 NA NA NA
1710108000.0 2017.12 480 0 169 154 NA NA NA 644 0 280 232 NA NA NA 848 367 562 339 NA NA NA 1061 552 845 569 NA NA NA
1710108000.0 2017.13 460 0 NA NA NA NA NA 620 0 NA NA NA NA NA 842 817 NA NA NA NA NA 716 1220 NA NA NA NA NA
1710108000.0 2017.3 408 0 192 154 NA NA NA 541 0 269 228 NA NA NA 750 447 539 327 NA NA NA 1134 645 857 388 NA NA NA
1710108000.0 2017.5 483 0 170 156 NA NA NA 635 0 271 235 NA NA NA 802 397 557 333 NA NA NA 1027 556 915 430 NA NA NA
1710108000.0 2017.6 488 0 193 156 NA NA NA 625 0 278 230 NA NA NA 867 373 555 346 NA NA NA 815 645 762 501 NA NA NA
1710108000.0 2017.8 202 NA NA NA NA NA NA 307 NA NA NA NA NA NA 622 NA NA NA NA NA NA 414 NA NA NA NA NA NA
1710108000.0 2018.11 490 0 194 161 NA NA NA 626 0 272 236 NA NA NA 1007 450 673 374 NA NA NA 853 702 711 649 NA NA NA
1710108000.0 2018.12 488 0 188 158 NA NA NA 606 0 266 234 NA NA NA 846 381 543 353 NA NA NA 809 713 921 566 NA NA NA
1710108000.0 2018.13 459 0 NA NA NA NA NA 619 0 NA NA NA NA NA 875 757 NA NA NA NA NA 803 876 NA NA NA NA NA
1710108000.0 2018.2 410 0 181 156 NA NA NA 537 0 269 227 NA NA NA 773 421 526 343 NA NA NA 906 666 754 556 NA NA NA
1710108000.0 2018.4 484 0 187 159 NA NA NA 600 0 272 231 NA NA NA 821 399 551 354 NA NA NA 974 644 860 596 NA NA NA
1710108000.0 2018.5 482 0 190 158 NA NA NA 627 0 276 234 NA NA NA 831 387 552 357 NA NA NA 1238 499 983 605 NA NA NA
1710108000.0 2018.9 484 0 188 157 NA NA NA 626 0 271 230 NA NA NA 793 471 544 342 NA NA NA 1167 579 1084 525 NA NA NA
1710108000.0 202.0 NA 253 445 0 NA NA NA NA 353 590 0 NA NA NA NA 606 2026 589 NA NA NA NA 558 2043 761 NA NA NA
1710108000.0 204.0 163 256 436 0 NA NA NA 261 344 600 0 NA NA NA 1598 590 1942 576 NA NA NA 1068 757 2174 680 NA NA NA
1710108000.0 20834.0 NA 590 561 0 214 NA NA NA 776 714 0 299 NA NA NA 1667 2531 799 678 NA NA NA 1684 2878 1260 941 NA NA
1710108000.0 20834.501 NA 601 309 0 NA NA NA NA 744 748 0 NA NA NA NA 1599 782 413 NA NA NA NA 1218 911 464 NA NA NA
1710108000.0 22834.0 176 534 556 0 207 NA NA 258 660 685 0 295 NA NA 3898 1232 2181 653 550 NA NA 1848 828 2323 823 747 NA NA
1710108000.0 23634.0 NA 587 548 0 217 NA NA NA 757 685 0 310 NA NA NA 1586 2309 748 674 NA NA NA 1091 2291 838 850 NA NA
1710108000.0 24834.0 NA 613 537 0 219 NA NA NA 769 746 0 304 NA NA NA 1599 2331 748 665 NA NA NA 1124 2141 812 736 NA NA
1710108000.0 24834.103 NA 613 574 0 216 NA NA NA 793 730 0 303 NA NA NA 2182 2574 752 666 NA NA NA 1404 2375 932 839 NA NA
1710108000.0 24834.5 NA 602 179 0 NA NA NA NA 772 306 0 NA NA NA NA 1629 674 239 NA NA NA NA 1115 1235 427 NA NA NA
1710108000.0 24896.0 NA 534 511 0 203 NA NA NA 741 642 0 284 NA NA NA 1423 1817 464 592 NA NA NA 1187 2347 624 733 NA NA
1710108000.0 2500.0 NA 225 0 NA NA NA NA NA 319 0 NA NA NA NA NA 19207 152 NA NA NA NA NA 6099 310 NA NA NA NA
1710108000.0 2500.001 NA 269 0 NA NA NA NA NA 479 0 NA NA NA NA NA 21874 145 NA NA NA NA NA 8651 392 NA NA NA NA
1710108000.0 2500.002 NA 277 0 NA NA NA NA NA 453 0 NA NA NA NA NA 21082 149 NA NA NA NA NA 7428 276 NA NA NA NA
1710108000.0 2500.011 NA 255 0 NA NA NA NA NA 386 0 NA NA NA NA NA 19241 144 NA NA NA NA NA 6249 249 NA NA NA NA
1710108000.0 2500.1 NA 210 0 NA NA NA NA NA 323 0 NA NA NA NA NA 19004 148 NA NA NA NA NA 5811 268 NA NA NA NA
1710108000.0 2500.2 NA 175 0 NA NA NA NA NA 314 0 NA NA NA NA NA 16506 152 NA NA NA NA NA 5918 289 NA NA NA NA
1710108000.0 2500.21 NA 235 0 NA NA NA NA NA 390 0 NA NA NA NA NA 23672 141 NA NA NA NA NA 7839 238 NA NA NA NA
1710108000.0 2500.3 NA 196 0 NA NA NA NA NA 302 0 NA NA NA NA NA 8354 152 NA NA NA NA NA 5271 344 NA NA NA NA
1710108000.0 2500.31 NA 246 0 NA NA NA NA NA 418 0 NA NA NA NA NA 5411 148 NA NA NA NA NA 3981 371 NA NA NA NA
1710108000.0 2500.51 126 NA NA NA NA NA NA 199 NA NA NA NA NA NA 361 NA NA NA NA NA NA 540 NA NA NA NA NA NA
1710108000.0 250199.0 374 NA NA NA NA NA NA 561 NA NA NA NA NA NA 1805 NA NA NA NA NA NA 1413 NA NA NA NA NA NA
1710108000.0 250200.17 NA 510 556 0 NA NA NA NA 689 776 0 NA NA NA NA 6256 2208 602 NA NA NA NA 2228 2022 911 NA NA NA
1710108000.0 250202.18 NA 553 595 0 NA NA NA NA 821 837 0 NA NA NA NA 7875 2808 620 NA NA NA NA 3198 2156 884 NA NA NA
1710108000.0 250206.18 NA 543 644 0 NA NA NA NA 793 876 0 NA NA NA NA 7762 2930 752 NA NA NA NA 3110 2247 877 NA NA NA
1710108000.0 250399.0 296 NA NA NA NA NA NA 396 NA NA NA NA NA NA 627 NA NA NA NA NA NA 744 NA NA NA NA NA NA
1710108000.0 250399.17 341 NA NA NA NA NA NA 466 NA NA NA NA NA NA 897 NA NA NA NA NA NA 1019 NA NA NA NA NA NA
1710108000.0 250399.18 352 NA NA NA NA NA NA 475 NA NA NA NA NA NA 888 NA NA NA NA NA NA 647 NA NA NA NA NA NA
1710108000.0 250400.0 449 0 183 NA NA NA NA 603 0 266 NA NA NA NA 837 355 585 NA NA NA NA 1330 431 1115 NA NA NA NA
1710108000.0 250400.17 480 0 187 NA NA NA NA 670 0 274 NA NA NA NA 983 398 601 NA NA NA NA 963 460 768 NA NA NA NA
1710108000.0 250400.18 482 0 198 NA NA NA NA 672 0 284 NA NA NA NA 1013 410 569 NA NA NA NA 1411 761 694 NA NA NA NA
1710108000.0 250402.0 427 0 188 NA NA NA NA 607 0 273 NA NA NA NA 919 399 607 NA NA NA NA 942 458 1107 NA NA NA NA
1710108000.0 250402.1 299 409 0 NA NA NA NA 400 588 0 NA NA NA NA 612 927 407 NA NA NA NA 896 1032 523 NA NA NA NA
1710108000.0 250402.17 518 0 191 NA NA NA NA 667 0 281 NA NA NA NA 1023 429 609 NA NA NA NA 971 471 672 NA NA NA NA
1710108000.0 250402.171 358 522 0 NA NA NA NA 484 645 0 NA NA NA NA 830 1076 419 NA NA NA NA 1053 1124 474 NA NA NA NA
1710108000.0 250402.18 535 0 198 NA NA NA NA 698 0 276 NA NA NA NA 1056 440 593 NA NA NA NA 1414 543 705 NA NA NA NA
1710108000.0 250402.181 348 488 0 NA NA NA NA 479 664 0 NA NA NA NA 923 1094 448 NA NA NA NA 790 915 527 NA NA NA NA
1710108000.0 250403.0 452 0 195 NA NA NA NA 603 0 275 NA NA NA NA 884 352 581 NA NA NA NA 1363 470 744 NA NA NA NA
1710108000.0 250403.17 522 0 197 NA NA NA NA 674 0 271 NA NA NA NA 1003 373 573 NA NA NA NA 1265 531 621 NA NA NA NA
1710108000.0 250403.18 498 0 197 NA NA NA NA 701 0 272 NA NA NA NA 1039 379 574 NA NA NA NA 1450 542 616 NA NA NA NA
1710108000.0 250405.0 428 0 183 NA NA NA NA 624 0 283 NA NA NA NA 820 366 581 NA NA NA NA 941 469 1154 NA NA NA NA
1710108000.0 250405.17 511 0 188 NA NA NA NA 665 0 275 NA NA NA NA 983 381 592 NA NA NA NA 1000 445 793 NA NA NA NA
1710108000.0 250405.18 526 0 199 NA NA NA NA 682 0 270 NA NA NA NA 1023 377 589 NA NA NA NA 1473 441 964 NA NA NA NA
1710108000.0 250406.0 454 0 184 NA NA NA NA 596 0 278 NA NA NA NA 783 445 546 NA NA NA NA 1060 502 653 NA NA NA NA
1710108000.0 250406.17 515 0 186 NA NA NA NA 675 0 273 NA NA NA NA 860 493 566 NA NA NA NA 967 576 638 NA NA NA NA
1710108000.0 250406.18 488 0 182 NA NA NA NA 681 0 272 NA NA NA NA 870 490 546 NA NA NA NA 956 729 611 NA NA NA NA
1710108000.0 250407.0 375 0 184 NA NA NA NA 519 0 271 NA NA NA NA 756 193 573 NA NA NA NA 911 291 767 NA NA NA NA
1710108000.0 250407.17 431 0 191 NA NA NA NA 599 0 274 NA NA NA NA 913 221 580 NA NA NA NA 1059 329 790 NA NA NA NA
1710108000.0 250407.18 453 0 191 NA NA NA NA 609 0 266 NA NA NA NA 906 222 551 NA NA NA NA 1383 392 604 NA NA NA NA
